,cluster0_minus_cluster1
interfere_untreated_ord,2.088
mh_past_ord,1.3809999999999998
interfere_treated_ord,1.266
mh_current_ord,1.262
family_history_ord,0.853
interfere_treated_na,-0.826
mh_diagnosed_bin,0.7949999999999999
interfere_untreated_na,-0.759
mh_treatment_bin,0.756
mental_interview_open_ord,-0.20899999999999996
share_family_na,-0.16999999999999998
gender_female,0.143
coworker_negative_ord,0.14
share_family_open_ord,0.13600000000000012
age_scaled,0.132
career_hurt_ord,0.12200000000000011
role_backend,-0.10299999999999998
phys_interview_open_ord,-0.06299999999999994
role_enabling,0.05300000000000002
role_one_person_shop,0.038000000000000006
role_frontend,-0.02699999999999997
role_devops,-0.025999999999999995
remote_work_ord,0.014999999999999902
role_leadership,-0.010999999999999982
work_multi_role,-0.0050000000000000044
